,async-3.1.0,axios-0.19.0,bluebird-3.7.0,body-parser-1.19.0,commander.js-4.0.0-1,core-js-3.2.1,dotenv-8.1.0,express-4.17.1,jquery-3.4.1,lodash-4.17.15,moment-2.24.0,node-fs-extra-2.1.2,prop-types-15.7.2,react-16.10.2,request-2.88.1,rxjs-6.5.3,underscore-1.9.1,vue-2.6.10,webpack-4.41.0,yargs-14.2.0
was removed,unsafe,deprecated,will be removed,has been replaced,was moved,was renamed,deprecate,was replaced,has been removed,obsolete,will be replaced,has been deleted,unstable,has been renamed,was deleted,will be deleted,has been moved

projeto,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
projeto,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
projeto,0,2,37,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0
projeto,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
projeto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
projeto,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
projeto,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
projeto,0,0,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
projeto,9,12,45,9,0,0,0,0,1,2,0,0,0,0,0,0,0,0
projeto,8,11,5,2,0,0,0,2,0,0,1,2,1,0,0,0,0,0
projeto,0,0,77,7,0,0,0,93,0,0,0,0,0,0,0,0,0,0
projeto,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
projeto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
projeto,5,593,154,21,0,3,2,33,0,3,0,1,0,2576,43,1,0,0
projeto,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
projeto,0,2,34,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
projeto,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
projeto,1,57,36,0,0,0,0,0,0,30,0,1,0,1,0,0,0,9
projeto,16,8,43,3,0,0,2,31,0,3,0,2,0,0,0,0,0,10
projeto,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
